Sr. No,Questions,Data,,,,,,,,Alpha,Type
1,"A researcher is studying the effect of different fertilizers on the height of plants. The following data represents the heights (in cm) of plants grown with three different fertilizers:    
Perform a one-way ANOVA to determine if there is a significant difference in plant heights using a significance level of 0.05.",Fertilizer A,Fertilizer B,Fertilizer C,,,,,,0.05,CRD
,,45,50,55,,,,,,,
,,48,52,53,,,,,,,
,,46,51,56,,,,,,,
,,47,49,54,,,,,,,
,,44,53,57,,,,,,,
,,,,,,,,,,,
2,"A company wants to compare customer satisfaction scores for three different product models. The scores (out of 10) are: 
Conduct a one-way ANOVA to see if there are significant differences in customer satisfaction scores at α = 0.01.",Model X,Model Y,Model Z,,,,,,0.01,CRD
,,7,8,6,,,,,,,
,,6,7,7,,,,,,,
,,8,9,6,,,,,,,
,,7,8,5,,,,,,,
,,9,7,6,,,,,,,
,,,,,,,,,,,
3,"To study the effect of three different diets on weight loss, the following data represents the weight loss (in kg) for participants after one month:
Use one-way ANOVA to determine if there are significant differences in weight loss at the 0.05 level.",Diet A,Diet B,Diet C,,,,,,0.05,CRD
,,5,4,6,,,,,,,
,,6,5,7,,,,,,,
,,4,6,5,,,,,,,
,,5,4,6,,,,,,,
,,6,5,7,,,,,,,
,,,,,,,,,,,
4,"The preference scores (out of 10) for three different packaging designs across two different markets:
Use a two-way ANOVA to determine if packaging design and market type affect customer preference. Set α = 0.05.",Market,Packaging A,Packaging B,Packaging C,,,,,0.05,FD
,,Market 1,8,7,9,,,,,,
,,Market 1,9,6,8,,,,,,
,,Market 1,7,8,9,,,,,,
,,Market 2,6,9,7,,,,,,
,,Market 2,8,7,6,,,,,,
,,Market 2,7,8,9,,,,,,
,,,,,,,,,,,
5,"The productivity (in units) for employees using different tools and working different shifts:
Perform a two-way ANOVA to check if the type of tool and shift affect employee productivity at α = 0.05.",Shift,Tool A,Tool B,Tool C,,,,,0.05,FD
,,Day Shift,20,18,22,,,,,,
,,Day Shift,21,19,23,,,,,,
,,Day Shift,19,17,21,,,,,,
,,Night Shift,22,20,18,,,,,,
,,Night Shift,21,19,17,,,,,,
,,Night Shift,20,18,19,,,,,,
,,,,,,,,,,,
6,"The effectiveness scores (out of 10) of different advertisement types across various media platforms:
Conduct a two-way ANOVA to determine if advertisement type and platform affect effectiveness at α = 0.05.",Platform,Ad Type 1,Ad Type 2,Ad Type 3,,,,,0.05,FD
,,TV,7,8,6,,,,,,
,,TV,8,7,5,,,,,,
,,TV,7,9,6,,,,,,
,,Online,6,7,8,,,,,,
,,Online,7,8,7,,,,,,
,,Online,5,6,9,,,,,,
,,,,,,,,,,,
7,"The wear of tires from three different brands tested at different speeds (in 10,000 miles) is:
Conduct a randomized block ANOVA to analyze the data at α = 0.01.",Supplier,Speed 20 mph,Speed 40 mph,Speed 60 mph,,,,,0.01,RBD
,,1,6,5,4,,,,,,
,,2,5,4,3,,,,,,
,,3,7,6,5,,,,,,
,,4,6,5,4,,,,,,
,,5,5,4,3,,,,,,
,,,,,,,,,,,
8,"The crop yield (in tons) for three types of fertilizers tested on different soil types:
Use randomized block design ANOVA to determine if there are significant differences in crop yield at the 0.05 level.",Soil Type,Fertilizer A,Fertilizer B,Fertilizer C,,,,,0.01,RBD
,,1,4.5,5,4.8,,,,,,
,,2,4.7,4.9,4.9,,,,,,
,,3,4.6,5.1,4.7,,,,,,
