Sr. No,Questions,Data,,,,,,,,Alpha,Type
1,"A researcher is studying the effect of different fertilizers on the height of plants. The following data represents the heights (in cm) of plants grown with three different fertilizers:    
Perform a one-way ANOVA to determine if there is a significant difference in plant heights using a significance level of 0.05.",Fertilizer A,Fertilizer B,Fertilizer C,,,,,,0.05,One-way CRD
,,45,50,55,,,,,,,
,,48,52,53,,,,,,,
,,46,51,56,,,,,,,
,,47,49,54,,,,,,,
,,44,53,57,,,,,,,
,,,,,,,,,,,
2,"A company wants to compare customer satisfaction scores for three different product models. The scores (out of 10) are: 
Conduct a one-way ANOVA to see if there are significant differences in customer satisfaction scores at α = 0.01.",Model X,Model Y,Model Z,,,,,,0.01,One-way CRD
,,7,8,6,,,,,,,
,,6,7,7,,,,,,,
,,8,9,6,,,,,,,
,,7,8,5,,,,,,,
,,9,7,6,,,,,,,
,,,,,,,,,,,
3,"To study the effect of three different diets on weight loss, the following data represents the weight loss (in kg) for participants after one month:
Use one-way ANOVA to determine if there are significant differences in weight loss at the 0.05 level.",Diet A,Diet B,Diet C,,,,,,0.05,One-way CRD
,,5,4,6,,,,,,,
,,6,5,7,,,,,,,
,,4,6,5,,,,,,,
,,5,4,6,,,,,,,
,,6,5,7,,,,,,,
,,,,,,,,,,,
4,"The preference scores (out of 10) for three different packaging designs across two different markets:
Use a two-way ANOVA to determine if packaging design and market type affect customer preference. Set α = 0.05.",Market,Packaging A,Packaging B,Packaging C,,,,,0.05,Two Way FD
,,Market 1,8,7,9,,,,,,
,,Market 1,9,6,8,,,,,,
,,Market 1,7,8,9,,,,,,
,,Market 2,6,9,7,,,,,,
,,Market 2,8,7,6,,,,,,
,,Market 2,7,8,9,,,,,,
,,,,,,,,,,,
5,"The productivity (in units) for employees using different tools and working different shifts:
Perform a two-way ANOVA to check if the type of tool and shift affect employee productivity at α = 0.05.",Shift,Tool A,Tool B,Tool C,,,,,0.05,Two Way FD
,,Day Shift,20,18,22,,,,,,
,,Day Shift,21,19,23,,,,,,
,,Day Shift,19,17,21,,,,,,
,,Night Shift,22,20,18,,,,,,
,,Night Shift,21,19,17,,,,,,
,,Night Shift,20,18,19,,,,,,
,,,,,,,,,,,
6,"The effectiveness scores (out of 10) of different advertisement types across various media platforms:
Conduct a two-way ANOVA to determine if advertisement type and platform affect effectiveness at α = 0.05.",Platform,Ad Type 1,Ad Type 2,Ad Type 3,,,,,0.05,Two Way FD
,,TV,7,8,6,,,,,,
,,TV,8,7,5,,,,,,
,,TV,7,9,6,,,,,,
,,Online,6,7,8,,,,,,
,,Online,7,8,7,,,,,,
,,Online,5,6,9,,,,,,
,,,,,,,,,,,
7,"The wear of tires from three different brands tested at different speeds (in 10,000 miles) is:
Conduct a randomized block ANOVA to analyze the data at α = 0.01.",Supplier,Speed 20 mph,Speed 40 mph,Speed 60 mph,,,,,0.01,One Way RBD
,,1,6,5,4,,,,,,
,,2,5,4,3,,,,,,
,,3,7,6,5,,,,,,
,,4,6,5,4,,,,,,
,,5,5,4,3,,,,,,
,,,,,,,,,,,
8,"The crop yield (in tons) for three types of fertilizers tested on different soil types:
Use randomized block design ANOVA to determine if there are significant differences in crop yield at the 0.05 level.",Soil Type,Fertilizer A,Fertilizer B,Fertilizer C,,,,,0.01,One Way RBD
,,1,4.5,5,4.8,,,,,,
,,2,4.7,4.9,4.9,,,,,,
,,3,4.6,5.1,4.7,,,,,,
,,4,4.8,5.2,4.6,,,,,,
,,5,4.7,5,4.8,,,,,,
,,,,,,,,,,,
9,"The energy consumption (in kWh) for different appliances tested in various households:
Conduct a randomized block ANOVA to analyze the data at α = 0.01.",Household,Appliance A,Appliance B,Appliance C,,,,,0.01,One Way RBD
,,1,1.2,1.5,1.3,,,,,,
,,2,1.4,1.6,1.2,,,,,,
,,3,1.3,1.5,1.4,,,,,,
,,4,1.2,1.4,1.5,,,,,,
,,5,1.3,1.5,1.3,,,,,,
,,,,,,,,,,,
10,Performing these calculations for the machine operator example yields the following.,1,2,3,4,,,,,0.05,One Way CRD
,,6.33,6.26,6.44,6.29,,,,,,
,,6.26,6.36,6.38,6.23,,,,,,
,,6.31,6.23,6.58,6.19,,,,,,
,,6.29,6.27,6.54,6.21,,,,,,
,,,,,,,,,,,
11,"A company has three manufacturing plants, and company officials want to determine whether there is a difference in the average age of workers at the three locations. The following data are the ages of five randomly selected workers at each
plant. Perform a one-way ANOVA to determine whether there is a significant difference in the mean ages of the workers at the three plants. Use = .01 and note that
the sample sizes are equal.",Plant (Employee Ages),,,,,,,,0.01,One Way CRD
,,1,2,3,,,,,,,
,,29,32,25,,,,,,,
,,27,33,24,,,,,,,
,,30,31,24,,,,,,,
,,27,34,25,,,,,,,
,,28,30,26,,,,,,,
,,,,,,,,,,,
12,"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare the observed F value with the critical
table F value and decide whether to reject the null hypothesis. Use = .05.",1,2,3,,,,,,0.05,One Way CRD
,,2,5,3,,,,,,,
,,1,3,4,,,,,,,
,,3,6,5,,,,,,,
,,3,4,5,,,,,,,
,,2,5,3,,,,,,,
,,1,,5,,,,,,,
,,,,,,,,,,,
13,"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare the observed F value with the critical
table F value and decide whether to reject the null hypothesis. Use = .01.",1,2,3,4,5,,,,0.01,One Way CRD
,,14,10,11,16,14,,,,,
,,13,9,12,17,12,,,,,
,,10,12,13,14,13,,,,,
,,,9,12,16,13,,,,,
,,,10,,17,12,,,,,
,,,,,,14,,,,,
,,,,,,,,,,,
14,"Develop a one-way ANOVA on the following data.
Determine the observed F value. Compare it to the critical F value and decide
whether to reject the null hypothesis. Use a 1% level of significance.",1,2,3,4,,,,,0.01,One Way CRD
,,113,120,132,122,,,,,,
,,121,127,130,118,,,,,,
,,117,125,129,125,,,,,,
,,110,129,135,125,,,,,,
,,,,,,,,,,,
15,"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare it to the critical table F value and decide
whether to reject the null hypothesis. Perform a t test for independent measures on
the data. Compare the t and F values. Are the results different? Use = .05.",1,2,,,,,,,0.05,Other Method
,,27,22,,,,,,,,
,,31,27,,,,,,,,
,,31,25,,,,,,,,
,,29,23,,,,,,,,
,,30,26,,,,,,,,
,,27,27,,,,,,,,
,,28,23,,,,,,,,
,,,,,,,,,,,
16,"Compute a one-way ANOVA on the following data. Use alpha = 0.05. If there is a significant difference in treatment levels, compute multiple comparisons. Let alpha = 0.05 for the multiple comparisons.",1,2,3,4,,,,,0.05,One Way CRD
,,10,9,12,10,,,,,,
,,12,7,13,10,,,,,,
,,15,9,14,13,,,,,,
,,11,6,14,12,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
17,"A milk company has four machines that fill gallon jugs with milk. The quality control
manager is interested in determining whether the average fill for these machines is
the same. The following data represent random samples of fill measures (in quarts)
for 19 jugs of milk filled by the different machines. Use = .01 to test the 
hypotheses. Discuss the business implications of your findings.",Machine 1 ,Machine 2,Machine 3,Machine 4,,,,,0.01,One Way CRD
,,4.05,3.99,3.97,4,,,,,,
,,4.01,4.02,3.98,4.02,,,,,,
,,4.02,4.01,3.97,3.99,,,,,,
,,4.04,3.99,3.95,4.01,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
18,"That the starting salaries of new accounting graduates would differ according to
geographic regions of the United States seems logical. A random selection of
accounting firms is taken from three geographic regions, and each is asked to state
the starting salary for a new accounting graduate who is going to work in auditing.
The data obtained follow. Use a one-way ANOVA to analyze these data. Note that
the data can be restated to make the computations more reasonable (example:
$42,500 = 4.25). Use a 1% level of significance. Discuss the business implications of
your findings.",South,Northeast,West,,,,,,0.01,One Way CRD
,,"$40,500","$51,000","$45,500",,,,,,,
,,"41,500","49,500","43,500",,,,,,,
,,"40,000","49,000","45,000",,,,,,,
,,"41,000","48,000","46,500",,,,,,,
,,"41,500","49,500","46,000",,,,,,,
,,,,,,,,,,,
19,"A management consulting company presents a three-day seminar on project management to various clients. The seminar is basically the same each time it is given. However, sometimes it is presented to high-level managers, sometimes to midlevel managers, and sometimes to low-level managers. The seminar facilitators believe evaluations of the seminar may vary with the audience. Suppose the  following data are some randomly selected evaluation scores from different levels of managers who attended the seminar. The ratings are on a scale from 1 to 10, with 10 being the highest. Use a one-way ANOVA to determine whether there is a significant difference in the evaluations according to manager level. Assume = .05. Discuss
the business implications of your findings,",High Level,Mid Level,Low Level,,,,,,0.05,One Way CRD
,,7,8,5,,,,,,,
,,7,9,6,,,,,,,
,,8,8,5,,,,,,,
,,7,10,7,,,,,,,
,,9,9,4,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
20,"Family transportation costs are usually higher than most people believe because those costs include car payments, insurance, fuel costs, repairs, parking, and public transportation. Twenty randomly selected families in four major cities are asked to use their records to estimate a monthly figure for transportation cost. Use the data obtained and ANOVA to test whether there is a significant difference in monthly transportation costs for families living in these cities. Assume that = .05. Discuss the business implications of your findings.",Atlanta,New York,Los Angeles,Chicago,,,,,0.05,One Way CRD
,,$650,$250,$850,$540,,,,,,
,,480,525,700,450,,,,,,
,,550,300,950,675,,,,,,
,,600,175,780,550,,,,,,
,,675,500,600,600,,,,,,
,,,,,,,,,,,
