Questions,Alpha,Type,Data,isFirstColumnMergedHeader,isSecondColumnGroupedHeader,isFirstColumnHeader,isFirstColumnGroupedHeader,isFirstRowHeader,Extracted Data
"A researcher is studying the effect of different fertilizers on the height of plants. The following data represents the heights (in cm) of plants grown with three different fertilizers:    
Perform a one-way ANOVA to determine if there is a significant difference in plant heights using a significance level of 0.05.",0.05,CRD,"0 Fertilizer A Fertilizer B Fertilizer C
0           45           50           55
1           48           52           53
2           46           51           56
3           47           49           54
4           44           53           57",False,False,False,False,False,"[[45.0 50.0 55.0]
 [48.0 52.0 53.0]
 [46.0 51.0 56.0]
 [47.0 49.0 54.0]
 [44.0 53.0 57.0]]"
"A company wants to compare customer satisfaction scores for three different product models. The scores (out of 10) are: 
Conduct a one-way ANOVA to see if there are significant differences in customer satisfaction scores at α = 0.01.",0.01,CRD,"7 Model X Model Y Model Z
0       7       8       6
1       6       7       7
2       8       9       6
3       7       8       5
4       9       7       6",False,False,False,False,False,"[[7.0 8.0 6.0]
 [6.0 7.0 7.0]
 [8.0 9.0 6.0]
 [7.0 8.0 5.0]
 [9.0 7.0 6.0]]"
"To study the effect of three different diets on weight loss the following data represents the weight loss (in kg) for participants after one month:
Use one-way ANOVA to determine if there are significant differences in weight loss at the 0.05 level.",0.05,CRD,"14 Diet A Diet B Diet C
0       5      4      6
1       6      5      7
2       4      6      5
3       5      4      6
4       6      5      7",False,False,False,False,False,"[[5.0 4.0 6.0]
 [6.0 5.0 7.0]
 [4.0 6.0 5.0]
 [5.0 4.0 6.0]
 [6.0 5.0 7.0]]"
"The preference scores (out of 10) for three different packaging designs across two different markets:
Use a two-way ANOVA to determine if packaging design and market type affect customer preference. Set α = 0.05.",0.05,FD,"21    Market Packaging A Packaging B Packaging C
0   Market 1           8           7           9
1   Market 1           9           6           8
2   Market 1           7           8           9
3   Market 2           6           9           7
4   Market 2           8           7           6
5   Market 2           7           8           9",False,False,True,True,False,"[[8.0 7.0 9.0]
 [9.0 6.0 8.0]
 [7.0 8.0 9.0]
 [6.0 9.0 7.0]
 [8.0 7.0 6.0]
 [7.0 8.0 9.0]]"
"The productivity (in units) for employees using different tools and working different shifts:
Perform a two-way ANOVA to check if the type of tool and shift affect employee productivity at α = 0.05.",0.05,FD,"29        Shift Tool A Tool B Tool C
0     Day Shift     20     18     22
1     Day Shift     21     19     23
2     Day Shift     19     17     21
3   Night Shift     22     20     18
4   Night Shift     21     19     17
5   Night Shift     20     18     19",False,False,True,True,False,"[[20.0 18.0 22.0]
 [21.0 19.0 23.0]
 [19.0 17.0 21.0]
 [22.0 20.0 18.0]
 [21.0 19.0 17.0]
 [20.0 18.0 19.0]]"
"The effectiveness scores (out of 10) of different advertisement types across various media platforms:
Conduct a two-way ANOVA to determine if advertisement type and platform affect effectiveness at α = 0.05.",0.05,FD,"37 Platform Ad Type 1 Ad Type 2 Ad Type 3
0        TV         7         8         6
1        TV         8         7         5
2        TV         7         9         6
3    Online         6         7         8
4    Online         7         8         7
5    Online         5         6         9",False,False,True,True,False,"[[7.0 8.0 6.0]
 [8.0 7.0 5.0]
 [7.0 9.0 6.0]
 [6.0 7.0 8.0]
 [7.0 8.0 7.0]
 [5.0 6.0 9.0]]"
"The wear of tires from three different brands tested at different speeds (in 10000 miles) is:
Conduct a randomized block ANOVA to analyze the data at α = 0.01.",0.01,RBD,"45 Supplier Speed 20 mph Speed 40 mph Speed 60 mph
0         1            6            5            4
1         2            5            4            3
2         3            7            6            5
3         4            6            5            4
4         5            5            4            3",False,False,True,False,False,"[[6.0 5.0 4.0]
 [5.0 4.0 3.0]
 [7.0 6.0 5.0]
 [6.0 5.0 4.0]
 [5.0 4.0 3.0]]"
"The crop yield (in tons) for three types of fertilizers tested on different soil types:
Use randomized block design ANOVA to determine if there are significant differences in crop yield at the 0.05 level.",0.01,RBD,"52 Soil Type Fertilizer A Fertilizer B Fertilizer C
0          1          4.5            5          4.8
1          2          4.7          4.9          4.9
2          3          4.6          5.1          4.7
3          4          4.8          5.2          4.6
4          5          4.7            5          4.8",False,False,True,False,False,"[[4.5 5.0 4.8]
 [4.7 4.9 4.9]
 [4.6 5.1 4.7]
 [4.8 5.2 4.6]
 [4.7 5.0 4.8]]"
"The energy consumption (in kWh) for different appliances tested in various households:
Conduct a randomized block ANOVA to analyze the data at α = 0.01.",0.01,RBD,"59 Household Appliance A Appliance B Appliance C
0          1         1.2         1.5         1.3
1          2         1.4         1.6         1.2
2          3         1.3         1.5         1.4
3          4         1.2         1.4         1.5
4          5         1.3         1.5         1.3",False,False,True,False,False,"[[1.2 1.5 1.3]
 [1.4 1.6 1.2]
 [1.3 1.5 1.4]
 [1.2 1.4 1.5]
 [1.3 1.5 1.3]]"
Performing these calculations for the machine operator example yields the following.,Insufficient Data,Insufficient Data,"66     1     2     3     4
0   6.33  6.26  6.44  6.29
1   6.26  6.36  6.38  6.23
2   6.31  6.23  6.58  6.19
3   6.29  6.27  6.54  6.21
4    6.4  6.19  6.56  6.22",False,False,False,False,False,"[[6.33 6.26 6.44 6.29]
 [6.26 6.36 6.38 6.23]
 [6.31 6.23 6.58 6.19]
 [6.29 6.27 6.54 6.21]
 [6.4 6.19 6.56 6.22]]"
"A company has three manufacturing plants and company officials want to determine whether there is a difference in the average age of workers at the three locations. The following data are the ages of five randomly selected workers at each
plant. Perform a one-way ANOVA to determine whether there is a significant difference in the mean ages of the workers at the three plants. Use = .01 and note that
the sample sizes are equal.",0.01,CRD,"73 Plant (Employee Ages)        
0                      1   2   3
1                     29  32  25
2                     27  33  24
3                     30  31  24
4                     27  34  25
5                     28  30  26",False,False,False,False,True,"[[29.0 32.0 25.0]
 [27.0 33.0 24.0]
 [30.0 31.0 24.0]
 [27.0 34.0 25.0]
 [28.0 30.0 26.0]]"
"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare the observed F value with the critical
table F value and decide whether to reject the null hypothesis. Use = .05.",0.05,CRD,"81  1  2  3
0   2  5  3
1   1  3  4
2   3  6  5
3   3  4  5
4   2  5  3
5   1  3  5",False,False,False,False,False,"[[2.0 5.0 3.0]
 [1.0 3.0 4.0]
 [3.0 6.0 5.0]
 [3.0 4.0 5.0]
 [2.0 5.0 3.0]
 [1.0 3.0 5.0]]"
"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare the observed F value with the critical
table F value and decide whether to reject the null hypothesis. Use = .01.",0.01,CRD,"89   1   2   3   4   5
0   14  10  11  16  14
1   13   9  12  17  12
2   10  12  13  14  13
3   12   9  12  16  13
4   13  10  14  17  12",False,False,False,False,False,"[[14.0 10.0 11.0 16.0 14.0]
 [13.0 9.0 12.0 17.0 12.0]
 [10.0 12.0 13.0 14.0 13.0]
 [12.0 9.0 12.0 16.0 13.0]
 [13.0 10.0 14.0 17.0 12.0]]"
"Develop a one-way ANOVA on the following data.
Determine the observed F value. Compare it to the critical F value and decide
whether to reject the null hypothesis. Use a 1% level of significance.",0.01,CRD,"96    1    2    3    4
0   113  120  132  122
1   121  127  130  118
2   117  125  129  125
3   110  129  135  125",False,False,False,False,False,"[[113.0 120.0 132.0 122.0]
 [121.0 127.0 130.0 118.0]
 [117.0 125.0 129.0 125.0]
 [110.0 129.0 135.0 125.0]]"
"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare it to the critical table F value and decide
whether to reject the null hypothesis. Perform a t test for independent measures on
the data. Compare the t and F values. Are the results different? Use = .05.",0.05,Insufficient Data,"102   1   2
0    27  22
1    31  27
2    31  25
3    29  23
4    30  26
5    27  27
6    28  23",False,False,False,False,False,"[[27.0 22.0]
 [31.0 27.0]
 [31.0 25.0]
 [29.0 23.0]
 [30.0 26.0]
 [27.0 27.0]
 [28.0 23.0]]"
